id,content,user_id,blog_id,created_at
1,"Great insights on Indian heritage!",10,51,2025-02-05 23:00:00
2,"I really enjoyed learning about Mahabalipuram.",15,51,2025-02-05 23:10:00
3,"The Udaipur piece is amazing!",8,52,2025-02-05 23:20:00
4,"Navratri is such a vibrant festival.",20,53,2025-02-06 00:00:00
5,"Dal Lake looks beautiful!",25,54,2025-02-06 00:10:00
6,"Rajasthan's block printing is unique.",18,55,2025-02-06 00:20:00
7,"The Gateway of India is majestic!",30,56,2025-02-06 00:30:00
8,"I want to visit Kerala's backwaters!",12,57,2025-02-06 00:45:00
9,"Rani ki Vav has an incredible history.",6,58,2025-02-06 01:00:00
10,"Persian architecture truly influenced India.",19,59,2025-02-06 01:15:00
11,"Varanasi sarees are timeless.",35,60,2025-02-06 01:30:00
12,"Coorg looks serene and peaceful.",5,61,2025-02-06 01:45:00
13,"Khajuraho temples are fascinating.",40,62,2025-02-06 02:00:00
14,"Bidriware is an exceptional craft!",29,63,2025-02-06 02:15:00
15,"Kolkata streets are always vibrant!",42,64,2025-02-06 02:30:00
16,"The bamboo handicrafts of the northeast are stunning.",13,65,2025-02-06 02:45:00
17,"The Red Fort is an iconic monument.",50,66,2025-02-06 03:00:00
18,"Hampi's ruins have a rich history.",3,67,2025-02-06 03:15:00
19,"Indian folk music is so diverse.",24,68,2025-02-06 03:30:00
20,"The Ajanta and Ellora caves are a must-visit.",2,69,2025-02-06 03:45:00
